date,성수동,팝업스토어,할인,weekday,weekday_ko,month,성수동_ma7,성수동_pct_change,팝업스토어_ma7,팝업스토어_pct_change,할인_ma7,할인_pct_change
2025-08-25,16.3328,13.19554,2.17276,0,월,8,16.3328,,13.19554,,2.17276,
2025-08-26,17.51987,11.31955,2.16216,1,화,8,16.926335,7.268012833072124,12.257545,-14.216849026261901,2.16746,-0.4878587602864415
2025-08-27,18.1134,11.71171,1.96078,2,수,8,17.322023333333334,3.3877534479422433,12.0756,3.4644486750798453,2.0985666666666667,-9.313834313834324
2025-08-28,17.96502,12.42183,2.15156,3,목,8,17.4827725,-0.819172546291691,12.1621575,6.063333193871778,2.111815,9.729801405563098
2025-08-29,18.44197,14.10704,2.10916,4,금,8,17.674612,2.6548815420188943,12.551134,13.566519586888571,2.111284,-1.970663146740026
2025-08-30,18.06041,15.91944,1.27186,5,토,8,17.738911666666667,-2.0689763620697854,13.112518333333334,12.847486077873182,1.97138,-39.69826850499726
2025-08-31,16.95813,13.81028,1.34605,6,일,8,17.62737142857143,-6.103294443481633,13.212198571428571,-13.2489585060781,1.8820471428571428,5.833189187489185
2025-09-01,18.98251,16.75675,2.20455,0,월,9,18.005901428571427,11.93751905428253,13.720942857142859,21.335338602837872,1.8865885714285713,63.77920582444929
2025-09-02,17.55166,13.89507,2.39533,1,화,9,18.010442857142856,-7.537728150808309,14.088874285714285,-17.077774628134932,1.9198985714285715,8.653920301195273
2025-09-03,19.78802,13.68309,2.11976,2,수,9,18.249674285714285,12.741586835661135,14.370500000000002,-1.525577057186478,1.94261,-11.504469112815352
2025-09-04,21.89719,13.17435,2.23635,3,목,9,18.81141285714286,10.658822863530549,14.478002857142858,-3.7180198332394165,1.954722857142857,5.500150960486083
2025-09-05,23.47641,13.71489,1.88659,4,금,9,19.530618571428572,7.211975600522269,14.42198142857143,4.102972822188566,1.9229271428571426,-15.639770161200161
2025-09-06,23.6036,14.41441,1.49443,5,토,9,20.322502857142858,0.5417778953425989,14.206977142857141,5.100441928444188,1.954722857142857,-20.786710414027432
2025-09-07,21.17647,13.15315,1.44144,6,일,9,20.92512285714286,-10.282880577539022,14.11310142857143,-8.74999392968564,1.9683499999999998,-3.5458335285024956
2025-09-08,21.52623,12.09326,2.40593,0,월,9,21.28851142857143,1.6516444903234673,13.446888571428573,-8.058069739948214,1.9971185714285713,66.91156066156066
2025-09-09,19.67143,12.55961,2.15156,1,화,9,21.591335714285716,-8.616464657304135,13.256108571428571,3.856280275128454,1.9622942857142855,-10.572626801278517
2025-09-10,20.21197,12.30524,2.39533,2,수,9,21.651900000000005,2.7478429377020275,13.059272857142856,-2.0253017410572394,2.0016614285714285,11.329918756623103
2025-09-11,20.80551,11.25596,2.38473,3,목,9,21.495945714285714,2.9365766919305702,12.78521714285714,-8.527099024480622,2.0228585714285714,-0.44252775191727656
2025-09-12,19.77742,13.13195,2.38473,4,금,9,20.96751857142857,-4.941431380437211,12.701939999999999,16.66663705272584,2.0940214285714283,0.0
2025-09-13,20.19077,13.41812,1.33545,5,토,9,20.479971428571428,2.0900097181533406,12.559612857142856,2.1791889247217755,2.07131,-43.99994967983797
2025-09-14,20.75251,12.91997,1.51563,6,일,9,20.419405714285716,2.7821623444772126,12.526301428571427,-3.712517103737345,2.0819085714285714,13.492081320903072
2025-09-15,21.10227,11.02278,2.23635,0,월,9,20.358840000000004,1.6853864905979954,12.373375714285714,-14.684167223298505,2.057682857142857,47.552502919577975
2025-09-16,20.12718,9.84631,2.14096,1,화,9,20.42394714285714,-4.620782503493704,11.985761428571427,-10.673078842179539,2.056168571428571,-4.26543251279986
2025-09-17,19.21568,11.04398,2.08797,2,수,9,20.28162,-4.528701984083217,11.80558142857143,12.163643029723815,2.01226,-2.4750579179433685
2025-09-18,19.0461,11.23476,2.04557,3,목,9,20.030275714285715,-0.8825084514313297,11.802552857142857,1.7274569493968661,1.9638085714285716,-2.0306805174403753
2025-09-19,20.67832,11.17117,1.99258,4,금,9,20.158975714285713,8.569838444615963,11.522441428571428,-0.566011200951333,1.9077871428571431,-2.590476004243325
2025-09-20,21.34605,11.91308,1.32485,5,토,9,20.324015714285714,3.2291307997941887,11.307435714285715,6.641291825296736,1.9062728571428573,-33.5108251613486
2025-09-21,19.20508,10.71542,1.32485,6,일,9,20.102954285714283,-10.029818163079362,10.992500000000001,-10.05331954456783,1.8790185714285712,0.0
2025-09-22,19.73502,9.85691,1.97138,0,월,9,19.907632857142858,2.7593740822740687,10.825947142857144,-8.011911805603521,1.841165714285714,48.80024153677773
2025-09-23,18.75993,9.17859,1.85479,1,화,9,19.71231142857143,-4.940912145009213,10.730558571428572,-6.881669813359348,1.8002842857142856,-5.914131217725648
2025-09-24,17.43508,9.009,1.95018,2,수,9,19.45794,-7.062126564438143,10.439847142857143,-1.8476694132758875,1.7806,5.142900274424611
2025-09-25,19.80922,9.77212,2.02437,3,목,9,19.566957142857145,13.617029574857131,10.23089857142857,8.470640470640456,1.7775714285714286,3.804264221764142
